,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,94.3082234278637,80.59329021926366,70.57490965525051,75.42883566281574,82.60177778231973,95.64220635698328,125.87549956607509,151.16676717065442,248.18657183302915
ci_average_revenue,0.0,18.754655682338402,18.75472131452071,18.75472611386274,18.75472794100371,18.754734065199415,18.756871064123157,18.754738674293357,18.76355767984647
ci_cap_battery_charger,0.0,0.0,141.78100091311845,311.5226589441468,480.4979147196406,707.4424666762746,783.2764838033168,1076.241301554306,538.887939848541
ci_cap_battery_discharger,0.0,0.0,144.7046129124006,317.9464489997375,490.4060791426385,722.0303682361172,799.4281297365133,1098.4340633706465,550.0001427323044
ci_cap_onwind,0.0,2019.5489216434921,1100.6773207321262,1099.1713178705115,1109.1897658619337,1121.5405292565702,1912.4402937302211,2196.8396537629974,5270.478959802728
ci_cap_solar,0.0,1173.4550250233856,1212.0413907096688,1657.0625230527892,2206.8133220968107,3106.9288949387137,3707.8433744449567,4980.495190376655,4653.790428245393
ci_capital_cost_battery_inverter,0.0,0.0,4507355.707963727,9903607.859366,15275495.338782376,22490283.039990924,24901120.089764964,34214756.15537334,17131770.942409765
ci_capital_cost_battery_storage,0.0,0.0,14836162.721422719,38788930.939976394,67123351.83265561,102901066.54693432,144531062.0109987,160312201.71271482,316252418.2032473
ci_capital_cost_grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_fuel_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_onwind,0.0,231805911.59951386,126336879.9709924,126164019.40670165,127313947.217103,128731580.59897412,219511872.63490993,252155524.98925173,604951019.8786849
ci_capital_cost_solar,0.0,64893468.99230828,67027341.251399584,91637543.1226257,122039421.05616553,171816890.810105,205048181.58078477,275427351.9742327,257360187.1499293
ci_clean_excess_total,0.0,963597.5301434407,963599.1596354143,963599.0360362704,963599.3800609779,963599.4522407573,963599.7304612028,963599.7397976918,963599.869579746
ci_clean_total,0.0,4818000.000072533,4435390.741661506,4753744.112426548,5077889.995217447,5411530.916189604,5650021.997038156,5716307.816265301,5781599.866576381
ci_clean_used_grid_total,2111288.1157530327,161390.3750250276,382609.2937322239,305156.0317737903,221909.95215785445,129169.0096238571,35217.91642776621,17112.004977969726,5.3155395754291556e-05
ci_clean_used_local_total,0.0,3854402.4699290926,3471791.582026091,3790145.0763902785,4114290.61515647,4447931.463948847,4686422.266576953,4752708.076467609,4817999.996996636
ci_clean_used_total,2111288.1157530327,4015792.84495412,3854400.875758315,4095301.108164069,4336200.567314324,4577100.473572704,4721640.183004719,4769820.0814455785,4817999.997049791
ci_cost_battery_inverter,0.0,0.0,4507355.707963727,9903607.859366,15275495.338782376,22490283.039990924,24901120.089764964,34214756.15537334,17131770.942409765
ci_cost_battery_storage,0.0,0.0,14836162.721422719,38788930.939976394,67123351.83265561,102901066.54693432,144531062.0109987,160312201.71271482,316252418.2032473
ci_cost_grid,454377020.4754473,91532097.26724835,127260990.44506767,96857927.37649082,66156518.824964,34796618.461727016,12407474.223844197,6147238.94589394,0.006159362944421766
ci_cost_hydrogen_electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_cost_hydrogen_fuel_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_cost_hydrogen_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_cost_onwind,0.0,231862354.85153723,126387051.66260183,126213058.95042205,127360519.1483372,128771049.27055295,219546623.0579349,252175160.51562846,604978510.2401382
ci_cost_solar,0.0,64904020.15762677,67038354.18194099,91652605.09719099,122059480.21047728,171845132.90874028,205081877.52680704,275472126.89860255,257400203.69957978
ci_demand_total,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0
