,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,134.01589551334214,81.02029395628382,80.33943269400207,80.33947700329276,80.33945159121785,80.33944576255674,84.58093030969707,97.23563363411921,147.95551118639685
ci_average_revenue,0.0,25.432084515734875,29.664303262079855,29.66433600233508,29.664253488519993,29.66414570275283,32.72007509641232,35.955696152504494,31.773432168999822
ci_cap_battery_charger,0.0,0.0,1351.3308943759396,1351.3300826824236,1351.3323483768984,1351.3306997749128,1748.508905421208,1988.6856187953283,722.2864987003926
ci_cap_battery_discharger,0.0,0.0,1379.196173872867,1379.1953454417283,1379.1976578562255,1379.1959752590465,1784.5642413535145,2029.6935472234304,737.1804933888203
ci_cap_onwind,0.0,1747.0130159513353,1198.6749777459981,1198.6756002126149,1198.6748197939485,1198.675552347913,1320.1039996823968,1659.3723832602805,3551.097580223423
ci_cap_solar,0.0,925.4870006327492,1677.1905443714732,1677.1927893696886,1677.1890039454245,1677.1914753278054,1848.32800001305,1849.643920198214,1412.6892575431289
ci_capital_cost_battery_inverter,0.0,0.0,32168927.217736546,32168907.895074904,32168961.830762275,32168922.585187778,41623895.34062629,47341390.02981218,17194294.827231765
ci_capital_cost_battery_storage,0.0,0.0,51456538.12065555,51456507.617350526,51456566.63359968,51456531.74029848,66580498.74127854,122252612.09354891,252293223.30542034
ci_capital_cost_grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_fuel_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_onwind,0.0,191100805.33463714,131119660.52353635,131119728.61339639,131119643.24560905,131119723.37761223,144402437.28087306,181514044.76996127,388444505.6827675
ci_capital_cost_solar,0.0,44414994.58799824,80489957.07165076,80490064.81123383,80489883.1451509,80490001.74912374,88703005.07872987,88766157.33031453,67796290.69387606
ci_clean_excess_total,0.0,981119.0365334821,981118.4157089,981118.5454256863,981118.4930137948,981118.6565067795,981118.4451091259,981118.8699578699,981119.6854721166
ci_clean_total,0.0,4905600.000017999,5211502.50211442,5211503.315066861,5211501.760568822,5211502.9578433875,5398063.641670797,5654056.741227275,5886719.67957131
ci_clean_used_grid_total,4380717.499017079,742824.4498945747,518089.6168693905,518125.12000911485,517798.77311851236,517875.6813725346,390544.2223039371,183607.1213801209,0.2073878515579881
ci_clean_used_local_total,0.0,3924480.9634845164,4230384.086405519,4230384.769641175,4230383.267555026,4230384.301336608,4416945.196561672,4672937.871269405,4905599.994099194
ci_clean_used_total,4380717.499017079,4667305.413379091,4748473.703274909,4748509.88965029,4748182.040673539,4748259.982709142,4807489.418865609,4856544.992649525,4905600.201487046
ci_cost_battery_inverter,0.0,0.0,32168927.217736546,32168907.895074904,32168961.830762275,32168922.585187778,41623895.34062629,47341390.02981218,17194294.827231765
ci_cost_battery_storage,0.0,0.0,51456538.12065555,51456507.617350526,51456566.63359968,51456531.74029848,66580498.74127854,122252612.09354891,252293223.30542034
ci_cost_grid,657428377.0302513,161868153.5875048,98807264.04796797,98807347.1042732,98807387.74578327,98807240.11294878,73537430.72972524,37048125.178886265,20.936584646992976
ci_cost_hydrogen_electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_cost_hydrogen_fuel_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_cost_hydrogen_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_cost_onwind,0.0,191161238.90005383,131174369.45159581,131174446.50449698,131174347.88522384,131174421.14825648,144457681.8641428,181573145.8696018,388513222.8528475
ci_cost_solar,0.0,44423761.5443873,80506022.1857407,80506129.26615734,80505949.6305092,80506069.5461068,88720705.05147703,88783851.18368612,67809793.75390407
ci_demand_total,4905600.0,4905600.0,4905600.0,4905600.0,4905600.0,4905600.0,4905600.0,4905600.0,4905600.0
ci_emission_rate_local,0.08128528494979524,0.02117409060522095,0.013798711818451256,0.0138093237288113,0.013815333607065697,0.013808975587150017,0.008429026951800027,0.0036304941829327555,1.53160440791555e-09
ci_emission_rate_myopic,0.09189351841438392,0.025266435026962783,0.01738885915334136,0.01739315156362117,0.01739216170761165,0.017391923587863484,0.011395686308375204,0.005649258398691029,1.722696793947337e-09
ci_emission_rate_true,0.07408757165435306,0.027625850804036973,0.017804565317019367,0.017812016785968315,0.01781570954834989,0.01781287267740701,0.011630922776064022,0.005653804430311579,5.06276241587761e-10
ci_emissions,363443.99150759436,135521.3737042838,87342.0756191702,87378.62954524615,87396.74476038522,87382.82820628781,57056.65477025969,27735.30301333649,0.0024835887307329205
ci_fraction_clean,0.0,1.000000000003669,1.0623578159887517,1.0623579817080195,1.0623576648256732,1.0623579088884922,1.1003880548089524,1.1525719058274777,1.19999993468104
ci_fraction_clean_excess,0.0,0.19999980359863873,0.19999967704437785,0.19999970348697127,0.19999969280287727,0.19999972613070358,0.1999996830375746,0.19999976964242291,0.19999993588391157
ci_fraction_clean_used,0.8930034040723009,0.951423967176103,0.967970014529295,0.9679773910735262,0.9679105594980306,0.9679264478777606,0.9800002892338571,0.9900002023502783,1.0000000410728649
ci_fraction_clean_used_grid,0.8930034040723009,0.1514237707710728,0.10561187558492141,0.10561911285247776,0.10555258747523491,0.10556826511997199,0.07961191746247902,0.0374280661652236,4.227573621126633e-08
ci_fraction_clean_used_local,0.0,0.8000001964050303,0.8623581389443736,0.8623582782210484,0.8623579720227956,0.8623581827577886,0.900388371771378,0.9525721361850548,0.9999999987971286
ci_generation_battery_discharger,-0.0,-0.0,1014501.3235136499,1027240.7125317882,1010948.6439134402,1003077.4352089728,1317743.88404073,1329649.2178151815,1073546.703834658
ci_generation_onwind,0.0,4028904.361112129,3647261.8706310047,3647859.4067056235,3646975.9743193,3646518.0429500258,3682972.2179836263,3940073.309368429,4581144.672000475
ci_generation_solar,0.0,876695.6389058696,1606511.408994287,1606445.4923511082,1606648.5358304938,1606779.6983064949,1769997.2747157805,1769385.3371589985,1350306.0028016083
ci_marginal_cost_grid,657428377.0302513,161868153.5875048,98807264.04796797,98807347.1042732,98807387.74578327,98807240.11294878,73537430.72972524,37048125.178886265,20.936584646992976
ci_marginal_cost_onwind,0.0,60433.56541668195,54708.928059465085,54717.89110058437,54704.63961478952,54697.770644250406,55244.58326975441,59101.09964052645,68717.17008000716
ci_marginal_cost_solar,0.0,8766.956389058694,16065.114089942868,16064.454923511079,16066.485358304935,16067.796983064945,17699.9727471578,17693.853371589983,13503.060028016082
ci_revenue_grid,0.0,124759633.800389,145521206.08245894,145521366.69305497,145520961.91328368,145520433.15942428,160511600.39296028,176384263.04572606,155867748.84824553
ci_total_cost,657428377.0302513,397453154.03194594,394113121.02369654,394113338.38735294,394113213.7258783,394113185.1327983,414920211.7272499,476999124.3555352,725810555.6759883
co2_price,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
emissions,298484172.80413467,296569771.23874193,296567457.6377713,296566936.1207736,296567060.40134627,296567284.04532987,296533958.7429072,296448942.3470748,296049342.19590664
emissions_zone,0.9435415496881965,0.9276028935167084,0.9144347971589508,0.9141681106552733,0.9132071182618251,0.9133359407706878,0.9266297282953359,0.9249714542024089,0.9253022587816115
objective,164919279193.79645,164538593240.6285,164513956846.1469,164513957677.57968,164513939793.93326,164513949038.47968,164518409538.48416,164564074884.66473,164836004644.6287
system_emission_rate,0.09299681906664214,0.09240036112274129,0.09239964028877258,0.09239947780303165,0.09239951652434096,0.09239958620367728,0.092389203250737,0.09236271523193591,0.09223821434933296
system_emissions,99494724.26804505,98856590.41291422,98855819.2125906,98855645.373591,98855686.80044875,98855761.34844323,98844652.91430269,98816314.1156914,98683114.06530222
system_grid_cfe_wavg,0.8889389396276228,0.8928230698909043,0.892535076125328,0.8927966715971389,0.8927520456952498,0.8934097740760143,0.8937659037185858,0.8940172943283171,0.8924071737714039
system_inv_H2_Electrolysis-2030,7887.722212490235,7899.6589025181975,7950.160806610589,7950.498149501164,7950.333593027128,7950.26771582517,7988.3166828309795,8000.542112630172,7885.699178845953
system_inv_H2_Fuel_Cell-2030,1739.0249217437438,1740.4434711372633,1750.1573247670256,1750.2782809953508,1750.244865373397,1750.2316592684354,1756.7994966664967,1759.2653024740064,1737.761842484181
system_inv_OCGT-2030,69431.2894290127,69197.81921779642,68960.05086245955,68959.88478172527,68959.86234716675,68959.69036969355,69001.9113422355,68681.67728738059,68682.41026144967
system_inv_battery_charger-2030,28236.531763150193,28186.882388967453,27076.34952986003,27077.103261711934,27077.040229002534,27077.23900401154,26636.871837405382,26716.49806371024,27965.54586619895
system_inv_battery_discharger-2030,28818.786526124008,28768.113351113352,27634.680617046844,27635.449891316082,27635.3855588332,27635.588432705925,27186.140622543244,27267.408790922036,28542.212732241158
system_inv_offwind-ac-2030,5969.681285342371,6117.8906789349985,6127.135203143224,6127.086949474764,6127.09509051097,6127.074196228011,6136.848483585415,6148.946574334854,6119.166464161498
system_inv_offwind-dc-2030,58181.77872288728,58181.730794858326,58181.750914424454,58181.72581363273,58181.68189149598,58181.69942624705,58181.764385285984,58181.786116870426,58181.74119485425
system_inv_onwind-2030,220816.58997226311,221427.40963677756,221644.91654674226,221645.67311310317,221644.2032124932,221644.0577715978,221636.22423775546,221624.45723820015,221355.03985910898
system_inv_solar-2030,392526.2346237958,391497.9964702361,390949.59266196156,390948.96415574726,390952.7110642156,390953.02311812626,390863.8686741136,390835.83261218073,391690.727920184
system_inv_solar_rooftop-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zone_average_marginal_price,134.01589551334217,131.17969938241555,131.32619888073583,131.32624987882556,131.32616815051142,131.32612091936244,131.12143065964193,130.952770982506,131.5818513207103
